"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.207.132","31.13.93.19","TLSv1.2","86","Application Data"
"2","0.018919","192.168.207.132","172.217.2.42","TCP","55","61641  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"3","0.032545","31.13.93.19","192.168.207.132","TCP","54","443  >  61434 [ACK] Seq=1 Ack=33 Win=139 Len=0"
"4","0.032936","172.217.2.42","192.168.207.132","TCP","66","443  >  61641 [ACK] Seq=1 Ack=2 Win=249 Len=0 SLE=1 SRE=2"
"5","0.034623","31.13.93.19","192.168.207.132","TLSv1.2","82","Application Data"
"6","0.075755","192.168.207.132","31.13.93.19","TCP","54","61434  >  443 [ACK] Seq=33 Ack=29 Win=508 Len=0"
"7","0.749767","192.168.207.132","35.186.224.47","TLSv1.2","96","Application Data"
"8","0.765017","35.186.224.47","192.168.207.132","TCP","54","443  >  61477 [ACK] Seq=1 Ack=43 Win=260 Len=0"
"9","0.809210","35.186.224.47","192.168.207.132","TLSv1.2","93","Application Data"
"10","0.850198","192.168.207.132","35.186.224.47","TCP","54","61477  >  443 [ACK] Seq=43 Ack=40 Win=506 Len=0"
"11","1.086797","192.168.207.132","1.1.1.1","TCP","66","61645  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","1.089662","1.1.1.1","192.168.207.132","TCP","66","443  >  61645 [SYN, ACK] Seq=0 Ack=1 Win=13900 Len=0 MSS=1390 SACK_PERM=1 WS=128"
"13","1.089855","192.168.207.132","1.1.1.1","TCP","54","61645  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"14","1.093189","192.168.207.132","1.1.1.1","TLSv1.2","571","Client Hello"
"15","1.095685","1.1.1.1","192.168.207.132","TCP","54","443  >  61645 [ACK] Seq=1 Ack=518 Win=14976 Len=0"
"16","1.095687","1.1.1.1","192.168.207.132","TLSv1.2","738","Server Hello, Certificate, Server Hello Done"
"17","1.096406","192.168.207.132","1.1.1.1","TLSv1.2","61","Alert (Level: Fatal, Description: Certificate Unknown)"
"18","1.097132","192.168.207.132","1.1.1.1","TCP","54","61645  >  443 [FIN, ACK] Seq=525 Ack=685 Win=131328 Len=0"
"19","1.098093","1.1.1.1","192.168.207.132","TCP","54","443  >  61645 [FIN, ACK] Seq=685 Ack=525 Win=14976 Len=0"
"20","1.098216","192.168.207.132","1.1.1.1","TCP","54","61645  >  443 [ACK] Seq=526 Ack=686 Win=131328 Len=0"
"21","1.098359","192.168.207.132","10.10.8.100","DNS","74","Standard query 0xa049 A www.google.com"
"22","1.099703","1.1.1.1","192.168.207.132","TCP","54","443  >  61645 [ACK] Seq=686 Ack=526 Win=14976 Len=0"
"23","1.101217","10.10.8.100","192.168.207.132","DNS","170","Standard query response 0xa049 A www.google.com A 64.233.177.105 A 64.233.177.104 A 64.233.177.147 A 64.233.177.103 A 64.233.177.106 A 64.233.177.99"
"24","1.102374","192.168.207.132","64.233.177.105","TCP","66","61646  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"25","1.104279","192.168.207.132","157.240.14.19","TLSv1.2","93","Application Data"
"26","1.105980","192.168.207.132","157.240.14.19","TLSv1.2","78","Application Data"
"27","1.106300","192.168.207.132","157.240.14.19","TCP","54","61437  >  443 [FIN, ACK] Seq=64 Ack=1 Win=511 Len=0"
"28","1.111629","192.168.207.132","10.10.8.100","DNS","77","Standard query 0xcf42 A wpad.argo.uwf.edu"
"29","1.114082","10.10.8.100","192.168.207.132","DNS","137","Standard query response 0xcf42 No such name A wpad.argo.uwf.edu SOA ads01.argo.uwf.edu"
"30","1.115195","192.168.207.132","192.168.207.255","NBNS","92","Name query NB WPAD<00>"
"31","1.116203","192.168.207.132","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"32","1.116499","64.233.177.105","192.168.207.132","TCP","66","443  >  61646 [SYN, ACK] Seq=0 Ack=1 Win=62920 Len=0 MSS=1380 SACK_PERM=1 WS=256"
"33","1.116668","192.168.207.132","64.233.177.105","TCP","54","61646  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"35","1.117973","192.168.207.132","64.233.177.105","TLSv1.3","630","Client Hello"
"37","1.120331","157.240.14.19","192.168.207.132","TLSv1.2","93","Application Data"
"38","1.120514","192.168.207.132","157.240.14.19","TCP","54","61437  >  443 [RST, ACK] Seq=65 Ack=40 Win=0 Len=0"
"39","1.121328","192.168.207.132","224.0.0.252","LLMNR","64","Standard query 0x248e A wpad"
"40","1.121639","157.240.14.19","192.168.207.132","TCP","54","443  >  61437 [FIN, ACK] Seq=40 Ack=40 Win=127 Len=0"
"41","1.130947","64.233.177.105","192.168.207.132","TCP","54","443  >  61646 [ACK] Seq=1 Ack=577 Win=64256 Len=0"
"42","1.132412","64.233.177.105","192.168.207.132","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"43","1.163351","192.168.207.132","64.233.177.105","TLSv1.3","118","Change Cipher Spec, Application Data"
"44","1.164111","192.168.207.132","64.233.177.105","TLSv1.3","140","Application Data"
"45","1.165052","192.168.207.132","64.233.177.105","TLSv1.3","775","Application Data"
"46","1.177999","64.233.177.105","192.168.207.132","TCP","54","443  >  61646 [ACK] Seq=213 Ack=727 Win=64256 Len=0"
"47","1.178000","64.233.177.105","192.168.207.132","TLSv1.3","618","Application Data, Application Data"
"48","1.178001","64.233.177.105","192.168.207.132","TLSv1.3","85","Application Data"
"49","1.178097","192.168.207.132","64.233.177.105","TCP","54","61646  >  443 [ACK] Seq=1448 Ack=808 Win=130048 Len=0"
"50","1.178657","192.168.207.132","64.233.177.105","TLSv1.3","85","Application Data"
"51","1.182635","64.233.177.105","192.168.207.132","TCP","54","443  >  61646 [ACK] Seq=808 Ack=1448 Win=65536 Len=0"
"52","1.192332","64.233.177.105","192.168.207.132","TCP","54","443  >  61646 [ACK] Seq=808 Ack=1479 Win=65536 Len=0"
"53","1.200650","64.233.177.105","192.168.207.132","TLSv1.3","303","Application Data"
"54","1.203326","64.233.177.105","192.168.207.132","TLSv1.3","179","Application Data"
"55","1.203413","192.168.207.132","64.233.177.105","TCP","54","61646  >  443 [ACK] Seq=1479 Ack=1182 Win=129792 Len=0"
"56","1.204242","64.233.177.105","192.168.207.132","TLSv1.3","86","Application Data"
"57","1.204244","64.233.177.105","192.168.207.132","TLSv1.3","85","Application Data"
"58","1.204245","64.233.177.105","192.168.207.132","TLSv1.3","93","Application Data"
"59","1.204340","192.168.207.132","64.233.177.105","TCP","54","61646  >  443 [ACK] Seq=1479 Ack=1284 Win=129792 Len=0"
"60","1.204787","192.168.207.132","64.233.177.105","TLSv1.3","93","Application Data"
"61","1.226892","64.233.177.105","192.168.207.132","TCP","54","443  >  61646 [ACK] Seq=1284 Ack=1518 Win=65536 Len=0"
"62","1.457210","192.168.207.132","99.84.104.65","TCP","55","61631  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"63","1.484310","99.84.104.65","192.168.207.132","TCP","66","443  >  61631 [ACK] Seq=1 Ack=2 Win=123 Len=0 SLE=1 SRE=2"
"65","1.531823","192.168.207.132","224.0.0.252","LLMNR","64","Standard query 0x248e A wpad"
"66","1.854638","192.168.207.132","54.68.191.13","TCP","55","61644  >  443 [ACK] Seq=1 Ack=1 Win=63850 Len=1 [TCP segment of a reassembled PDU]"
