,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
0,1,0.0,Target,1.1.1.1,TCP,74,50378  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403845795 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,3,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.036395866,1.1.1.1,Target,TCP,60,"443  >  50378 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,3,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.036395866,TCP,,,,,,,,,74,,,,,,,,,True,,,,,,,,,,,,,,,,,
2,3,0.036433616,Target,1.1.1.1,TCP,54,50378  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,3.775000000000306e-05,TCP,TCP,,,,,,,,60,74,,,,,,,,False,True,,,,,,,,0.036395866,,,,,,,,
3,4,0.036788616,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,3,Client Hello,,,,,,0.00035500000000000115,TCP,TCP,TCP,,,,,,,54,60,74,,,,,,,True,False,True,,,,,,,3.775000000000306e-05,0.036395866,,,,,,,
4,5,0.036971675,1.1.1.1,Target,TCP,60,443  >  50378 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.0001830589999999993,TLSv1.3,TCP,TCP,TCP,,,,,,571,54,60,74,,,,,,True,True,False,True,,,,,,0.00035500000000000115,3.775000000000306e-05,0.036395866,,,,,,
5,6,0.07484122900000001,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,3,"Server Hello, Change Cipher Spec",,,,,,0.03786955400000001,TCP,TLSv1.3,TCP,TCP,TCP,,,,,60,571,54,60,74,,,,,False,True,True,False,True,,,,,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05,0.036395866,,,,,
6,7,0.074860299,Target,1.1.1.1,TCP,54,50378  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,1.9069999999996035e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,,,1514,60,571,54,60,74,,,,False,False,True,True,False,True,,,,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05,0.036395866,,,,
7,8,0.075061529,1.1.1.1,Target,TLSv1.3,1329,Application Data,False,,,Exfiltration,3,Application Data,,,,,,0.0002012299999999967,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,,54,1514,60,571,54,60,74,,,True,False,False,True,True,False,True,,,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05,0.036395866,,,
8,9,0.075067589,Target,1.1.1.1,TCP,54,50378  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2736,34080,0,6.060000000002175e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,1329,54,1514,60,571,54,60,74,,False,True,False,False,True,True,False,True,,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05,0.036395866,,
9,10,0.075567149,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,3,"Change Cipher Spec, Application Data",,,,,,0.0004995599999999961,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1329,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05,0.036395866,
10,11,0.075652889,1.1.1.1,Target,TCP,60,443  >  50378 [ACK] Seq=2736 Ack=598 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2736,598,65535,0,8.574000000000082e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1329,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05,0.036395866
11,12,0.075718859,Target,1.1.1.1,TLSv1.3,279,Application Data,True,Linux,Python,Exfiltration,3,Application Data,,,,,,6.596999999999853e-05,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1329,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05
12,13,0.075812419,1.1.1.1,Target,TCP,60,443  >  50378 [ACK] Seq=2736 Ack=823 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2736,823,65535,0,9.356000000000642e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,279,60,134,54,1329,54,1514,60,571,True,False,True,True,False,True,False,False,True,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115
