,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
0,1,0.0,Target,1.1.1.1,TCP,74,50994  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405107700 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,5,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.030987837999999997,1.1.1.1,Target,TCP,60,"443  >  50994 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,5,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.030987837999999997,TCP,,,,,,,,,74,,,,,,,,,True,,,,,,,,,,,,,,,,,
2,3,0.031040988,Target,1.1.1.1,TCP,54,50994  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,5.315000000000181e-05,TCP,TCP,,,,,,,,60,74,,,,,,,,False,True,,,,,,,,0.030987837999999997,,,,,,,,
3,4,0.031389178,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,5,Client Hello,,,,,,0.0003481899999999982,TCP,TCP,TCP,,,,,,,54,60,74,,,,,,,True,False,True,,,,,,,5.315000000000181e-05,0.030987837999999997,,,,,,,
4,5,0.031532788,1.1.1.1,Target,TCP,60,443  >  50994 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00014361000000000235,TLSv1.3,TCP,TCP,TCP,,,,,,571,54,60,74,,,,,,True,True,False,True,,,,,,0.0003481899999999982,5.315000000000181e-05,0.030987837999999997,,,,,,
5,6,0.06505876,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,5,"Server Hello, Change Cipher Spec",,,,,,0.033525971999999994,TCP,TLSv1.3,TCP,TCP,TCP,,,,,60,571,54,60,74,,,,,False,True,True,False,True,,,,,0.00014361000000000235,0.0003481899999999982,5.315000000000181e-05,0.030987837999999997,,,,,
6,7,0.06510063,Target,1.1.1.1,TCP,54,50994  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,4.1870000000013285e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,,,1514,60,571,54,60,74,,,,False,False,True,True,False,True,,,,0.033525971999999994,0.00014361000000000235,0.0003481899999999982,5.315000000000181e-05,0.030987837999999997,,,,
7,8,0.065330584,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,5,Application Data,,,,,,0.00022995399999999055,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,,54,1514,60,571,54,60,74,,,True,False,False,True,True,False,True,,,4.1870000000013285e-05,0.033525971999999994,0.00014361000000000235,0.0003481899999999982,5.315000000000181e-05,0.030987837999999997,,,
8,9,0.065357394,Target,1.1.1.1,TCP,54,50994  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,2.681000000000211e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,1330,54,1514,60,571,54,60,74,,False,True,False,False,True,True,False,True,,0.00022995399999999055,4.1870000000013285e-05,0.033525971999999994,0.00014361000000000235,0.0003481899999999982,5.315000000000181e-05,0.030987837999999997,,
9,10,0.06583481299999999,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,5,"Change Cipher Spec, Application Data",,,,,,0.0004774189999999928,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,2.681000000000211e-05,0.00022995399999999055,4.1870000000013285e-05,0.033525971999999994,0.00014361000000000235,0.0003481899999999982,5.315000000000181e-05,0.030987837999999997,
