,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
0,1,0.0,Target,52.32.219.185,TCP,66,51752  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,True,Windows 10,Firefox,Browsing,6,  >   [SYN] Seq= Win= Len= MSS= WS= SACK_PERM=,[SYN],0,,64240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.08075299999999999,52.32.219.185,Target,TCP,58,"443  >  51752 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1380",False,,,Browsing,6,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,26883,0,0.08075299999999999,TCP,,,,,,,,,66,,,,,,,,,True,,,,,,,,,,,,,,,,,
2,3,0.080826,Target,52.32.219.185,TCP,54,51752  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0,True,Windows 10,Firefox,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,64240,0,7.300000000000362e-05,TCP,TCP,,,,,,,,58,66,,,,,,,,False,True,,,,,,,,0.08075299999999999,,,,,,,,
3,4,0.082678,Target,52.32.219.185,TLSv1.2,571,Client Hello,True,Windows 10,Firefox,Browsing,6,Client Hello,,,,,,0.0018520000000000064,TCP,TCP,TCP,,,,,,,54,58,66,,,,,,,True,False,True,,,,,,,7.300000000000362e-05,0.08075299999999999,,,,,,,
4,5,0.16381800000000002,52.32.219.185,Target,TCP,54,443  >  51752 [ACK] Seq=1 Ack=518 Win=26800 Len=0,False,,,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,26800,0,0.08114000000000002,TLSv1.2,TCP,TCP,TCP,,,,,,571,54,58,66,,,,,,True,True,False,True,,,,,,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999,,,,,,
5,6,0.167903,52.32.219.185,Target,TLSv1.2,1354,Server Hello,False,,,Browsing,6,Server Hello,,,,,,0.0040849999999999775,TCP,TLSv1.2,TCP,TCP,TCP,,,,,54,571,54,58,66,,,,,False,True,True,False,True,,,,,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999,,,,,
6,7,0.167904,52.32.219.185,Target,TCP,1354,443  >  51752 [ACK] Seq=1301 Ack=518 Win=26800 Len=1300 [TCP segment of a reassembled PDU],False,,,Browsing,6,  >   [ACK] Seq= Ack= Win= Len= [TCP segment of a reassembled PDU],[ACK],1301,518,26800,1300,1.000000000001e-06,TLSv1.2,TCP,TLSv1.2,TCP,TCP,TCP,,,,1354,54,571,54,58,66,,,,False,False,True,True,False,True,,,,0.0040849999999999775,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999,,,,
7,8,0.167905,52.32.219.185,Target,TLSv1.2,857,"Certificate, Server Key Exchange, Server Hello Done",False,,,Browsing,6,"Certificate, Server Key Exchange, Server Hello Done",,,,,,1.000000000001e-06,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TCP,TCP,,,1354,1354,54,571,54,58,66,,,False,False,False,True,True,False,True,,,1.000000000001e-06,0.0040849999999999775,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999,,,
8,9,0.16803900000000002,Target,52.32.219.185,TCP,54,51752  >  443 [ACK] Seq=518 Ack=3404 Win=64860 Len=0,True,Windows 10,Firefox,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,3404,64860,0,0.000134000000000023,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TCP,TCP,,857,1354,1354,54,571,54,58,66,,False,False,False,False,True,True,False,True,,1.000000000001e-06,1.000000000001e-06,0.0040849999999999775,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999,,
9,10,0.17488099999999998,Target,52.32.219.185,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",True,Windows 10,Firefox,Browsing,6,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",,,,,,0.006841999999999959,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TCP,TCP,54,857,1354,1354,54,571,54,58,66,True,False,False,False,False,True,True,False,True,0.000134000000000023,1.000000000001e-06,1.000000000001e-06,0.0040849999999999775,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999,
10,11,0.175263,Target,52.32.219.185,TLSv1.2,1235,Application Data,True,Windows 10,Firefox,Browsing,6,Application Data,,,,,,0.0003820000000000212,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TCP,180,54,857,1354,1354,54,571,54,58,True,True,False,False,False,False,True,True,False,0.006841999999999959,0.000134000000000023,1.000000000001e-06,1.000000000001e-06,0.0040849999999999775,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05,0.08075299999999999
11,12,0.186192,Target,104.16.249.249,TLSv1.2,115,Application Data,True,Windows 10,Firefox,Browsing,6,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,0.18632,Target,104.16.249.249,TLSv1.2,136,Application Data,True,Windows 10,Firefox,Browsing,6,Application Data,,,,,,0.000128000000000017,TLSv1.2,,,,,,,,,115,,,,,,,,,True,,,,,,,,,,,,,,,,,
13,14,0.198265,104.16.249.249,Target,TCP,54,443  >  51749 [ACK] Seq=1 Ack=62 Win=32 Len=0,False,,,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,62,32,0,0.011944999999999983,TLSv1.2,TLSv1.2,,,,,,,,136,115,,,,,,,,True,True,,,,,,,,0.000128000000000017,,,,,,,,
14,15,0.198265,104.16.249.249,Target,TCP,54,443  >  51749 [ACK] Seq=1 Ack=144 Win=32 Len=0,False,,,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,144,32,0,0.0,TCP,TLSv1.2,TLSv1.2,,,,,,,54,136,115,,,,,,,False,True,True,,,,,,,0.011944999999999983,0.000128000000000017,,,,,,,
15,16,0.20088499999999998,104.16.249.249,Target,TLSv1.2,413,Application Data,False,,,Browsing,6,Application Data,,,,,,0.0026199999999999835,TCP,TCP,TLSv1.2,TLSv1.2,,,,,,54,54,136,115,,,,,,False,False,True,True,,,,,,0.0,0.011944999999999983,0.000128000000000017,,,,,,
16,17,0.20088599999999998,104.16.249.249,Target,TLSv1.2,85,Application Data,False,,,Browsing,6,Application Data,,,,,,1.000000000001e-06,TLSv1.2,TCP,TCP,TLSv1.2,TLSv1.2,,,,,413,54,54,136,115,,,,,False,False,False,True,True,,,,,0.0026199999999999835,0.0,0.011944999999999983,0.000128000000000017,,,,,
17,18,0.200931,Target,104.16.249.249,TCP,54,51749  >  443 [ACK] Seq=144 Ack=391 Win=507 Len=0,True,Windows 10,Firefox,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],144,391,507,0,4.500000000001725e-05,TLSv1.2,TLSv1.2,TCP,TCP,TLSv1.2,TLSv1.2,,,,85,413,54,54,136,115,,,,False,False,False,False,True,True,,,,1.000000000001e-06,0.0026199999999999835,0.0,0.011944999999999983,0.000128000000000017,,,,
18,19,0.256153,52.32.219.185,Target,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",False,,,Browsing,6,"Change Cipher Spec, Encrypted Handshake Message",,,,,,0.08089000000000002,TLSv1.2,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,1235,180,54,857,1354,1354,54,571,54,True,True,True,False,False,False,False,True,True,0.0003820000000000212,0.006841999999999959,0.000134000000000023,1.000000000001e-06,1.000000000001e-06,0.0040849999999999775,0.08114000000000002,0.0018520000000000064,7.300000000000362e-05
19,20,0.25764699999999996,52.32.219.185,Target,TLSv1.2,210,Application Data,False,,,Browsing,6,Application Data,,,,,,0.0014939999999999398,TLSv1.2,TLSv1.2,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,105,1235,180,54,857,1354,1354,54,571,False,True,True,True,False,False,False,False,True,0.08089000000000002,0.0003820000000000212,0.006841999999999959,0.000134000000000023,1.000000000001e-06,1.000000000001e-06,0.0040849999999999775,0.08114000000000002,0.0018520000000000064
20,21,0.25775,Target,52.32.219.185,TCP,54,51752  >  443 [ACK] Seq=1825 Ack=3611 Win=64653 Len=0,True,Windows 10,Firefox,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1825,3611,64653,0,0.00010300000000001974,TLSv1.2,TLSv1.2,TLSv1.2,TLSv1.2,TCP,TLSv1.2,TCP,TLSv1.2,TCP,210,105,1235,180,54,857,1354,1354,54,False,False,True,True,True,False,False,False,False,0.0014939999999999398,0.08089000000000002,0.0003820000000000212,0.006841999999999959,0.000134000000000023,1.000000000001e-06,1.000000000001e-06,0.0040849999999999775,0.08114000000000002
21,22,0.259914,Target,64.233.185.147,TCP,66,51753  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,True,Windows 10,Firefox,Browsing,6,  >   [SYN] Seq= Win= Len= MSS= WS= SACK_PERM=,[SYN],0,,64240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,0.272552,64.233.185.147,Target,TCP,66,"443  >  51753 [SYN, ACK] Seq=0 Ack=1 Win=62920 Len=0 MSS=1380 SACK_PERM=1 WS=256",False,,,Browsing,6,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS= SACK_PERM= WS=","[SYN, ACK]",0,1,62920,0,0.012638000000000038,TCP,,,,,,,,,66,,,,,,,,,True,,,,,,,,,,,,,,,,,
23,24,0.27274899999999996,Target,64.233.185.147,TCP,54,51753  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,True,Windows 10,Firefox,Browsing,6,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,131072,0,0.00019699999999994722,TCP,TCP,,,,,,,,66,66,,,,,,,,False,True,,,,,,,,0.012638000000000038,,,,,,,,
24,25,0.277538,Target,64.233.185.147,TLSv1.2,571,Client Hello,True,Windows 10,Firefox,Browsing,6,Client Hello,,,,,,0.004789000000000043,TCP,TCP,TCP,,,,,,,54,66,66,,,,,,,True,False,True,,,,,,,0.00019699999999994722,0.012638000000000038,,,,,,,
