,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
0,1,0.0,Target,1.1.1.1,TCP,74,50622  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403924823 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,4,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.035334483,1.1.1.1,Target,TCP,60,"443  >  50622 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,4,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.035334483,TCP,,,,,,,,,74,,,,,,,,,True,,,,,,,,,,,,,,,,,
2,3,0.035383613,Target,1.1.1.1,TCP,54,50622  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.9130000000001395e-05,TCP,TCP,,,,,,,,60,74,,,,,,,,False,True,,,,,,,,0.035334483,,,,,,,,
3,4,0.035900707000000004,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,4,Client Hello,,,,,,0.0005170940000000027,TCP,TCP,TCP,,,,,,,54,60,74,,,,,,,True,False,True,,,,,,,4.9130000000001395e-05,0.035334483,,,,,,,
4,5,0.036054552000000004,1.1.1.1,Target,TCP,60,443  >  50622 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00015384499999999968,TLSv1.3,TCP,TCP,TCP,,,,,,571,54,60,74,,,,,,True,True,False,True,,,,,,0.0005170940000000027,4.9130000000001395e-05,0.035334483,,,,,,
5,6,0.072853987,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,4,"Server Hello, Change Cipher Spec",,,,,,0.03679943499999999,TCP,TLSv1.3,TCP,TCP,TCP,,,,,60,571,54,60,74,,,,,False,True,True,False,True,,,,,0.00015384499999999968,0.0005170940000000027,4.9130000000001395e-05,0.035334483,,,,,
6,7,0.072874157,Target,1.1.1.1,TCP,54,50622  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.016999999999991e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,,,1514,60,571,54,60,74,,,,False,False,True,True,False,True,,,,0.03679943499999999,0.00015384499999999968,0.0005170940000000027,4.9130000000001395e-05,0.035334483,,,,
7,8,0.073084332,1.1.1.1,Target,TLSv1.3,1331,Application Data,False,,,Exfiltration,4,Application Data,,,,,,0.00021017500000000688,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,,54,1514,60,571,54,60,74,,,True,False,False,True,True,False,True,,,2.016999999999991e-05,0.03679943499999999,0.00015384499999999968,0.0005170940000000027,4.9130000000001395e-05,0.035334483,,,
8,9,0.073091792,Target,1.1.1.1,TCP,54,50622  >  443 [ACK] Seq=518 Ack=2738 Win=34080 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2738,34080,0,7.460000000000799e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,,1331,54,1514,60,571,54,60,74,,False,True,False,False,True,True,False,True,,0.00021017500000000688,2.016999999999991e-05,0.03679943499999999,0.00015384499999999968,0.0005170940000000027,4.9130000000001395e-05,0.035334483,,
9,10,0.073517011,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,4,"Change Cipher Spec, Application Data",,,,,,0.0004252189999999906,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1331,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,7.460000000000799e-06,0.00021017500000000688,2.016999999999991e-05,0.03679943499999999,0.00015384499999999968,0.0005170940000000027,4.9130000000001395e-05,0.035334483,
