"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","1.1.1.1","TCP","74","50378  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403845795 TSecr=0 WS=1024"
"2","0.036395866","1.1.1.1","10.0.2.15","TCP","60","443  >  50378 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"3","0.036433616","10.0.2.15","1.1.1.1","TCP","54","50378  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"4","0.036788616","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"5","0.036971675","1.1.1.1","10.0.2.15","TCP","60","443  >  50378 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"6","0.074841229","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"7","0.074860299","10.0.2.15","1.1.1.1","TCP","54","50378  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"8","0.075061529","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"9","0.075067589","10.0.2.15","1.1.1.1","TCP","54","50378  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"10","0.075567149","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"11","0.075652889","1.1.1.1","10.0.2.15","TCP","60","443  >  50378 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"12","0.075718859","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"13","0.075812419","1.1.1.1","10.0.2.15","TCP","60","443  >  50378 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
"14","0.132036600","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"15","0.132225630","1.1.1.1","10.0.2.15","TCP","60","443  >  50378 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0"
"16","0.132612139","10.0.2.15","1.1.1.1","TCP","54","50378  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"17","0.132705429","1.1.1.1","10.0.2.15","TCP","60","443  >  50378 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"18","0.133166619","10.0.2.15","1.1.1.1","TCP","74","50380  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403845928 TSecr=0 WS=1024"
"19","0.168540715","1.1.1.1","10.0.2.15","TCP","60","443  >  50380 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"20","0.168612034","10.0.2.15","1.1.1.1","TCP","54","50380  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"21","0.169092754","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"22","0.169304594","1.1.1.1","10.0.2.15","TCP","60","443  >  50380 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"23","0.207174113","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"24","0.207194903","10.0.2.15","1.1.1.1","TCP","54","50380  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"25","0.207363493","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"26","0.207369333","10.0.2.15","1.1.1.1","TCP","54","50380  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"27","0.207972623","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"28","0.208080982","1.1.1.1","10.0.2.15","TCP","60","443  >  50380 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"29","0.208138762","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"30","0.208204052","1.1.1.1","10.0.2.15","TCP","60","443  >  50380 [ACK] Seq=2737 Ack=823 Win=65535 Len=0"
"31","0.266690912","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"32","0.266847217","1.1.1.1","10.0.2.15","TCP","60","443  >  50380 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0"
"33","0.267169836","10.0.2.15","1.1.1.1","TCP","54","50380  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0"
"34","0.267351786","1.1.1.1","10.0.2.15","TCP","60","443  >  50380 [ACK] Seq=3844 Ack=824 Win=65535 Len=0"
"35","0.267674135","10.0.2.15","1.1.1.1","TCP","74","50382  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403846062 TSecr=0 WS=1024"
"36","0.302579292","1.1.1.1","10.0.2.15","TCP","60","443  >  50382 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"37","0.302672462","10.0.2.15","1.1.1.1","TCP","54","50382  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"38","0.303169881","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"39","0.303376651","1.1.1.1","10.0.2.15","TCP","60","443  >  50382 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"40","0.343767813","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"41","0.343796123","10.0.2.15","1.1.1.1","TCP","54","50382  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"42","0.344027033","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"43","0.344034983","10.0.2.15","1.1.1.1","TCP","54","50382  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"44","0.344730812","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"45","0.344895463","1.1.1.1","10.0.2.15","TCP","60","443  >  50382 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"46","0.344914052","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"47","0.345088803","1.1.1.1","10.0.2.15","TCP","60","443  >  50382 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
