"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.100","192.168.1.85","TCP","66","63333  >  8009 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"3","1.034568","192.168.1.100","192.168.1.85","TCP","54","63325  >  8060 [FIN, ACK] Seq=1 Ack=1 Win=508 Len=0"
"4","1.034974","192.168.1.100","1.1.1.1","TLSv1.2","114","Application Data"
"5","1.035037","192.168.1.100","1.1.1.1","TLSv1.2","213","Application Data"
"6","1.035572","192.168.1.100","1.1.1.1","TLSv1.2","114","Application Data"
"7","1.035649","192.168.1.100","1.1.1.1","TLSv1.2","114","Application Data"
"8","1.035700","192.168.1.100","1.1.1.1","TLSv1.2","213","Application Data"
"9","1.035733","192.168.1.100","1.1.1.1","TLSv1.2","213","Application Data"
"10","1.037421","192.168.1.254","192.168.1.100","DNS","146","Standard query response 0x7752 A fp-vs.azureedge.net CNAME fp-vs.ec.azureedge.net CNAME cs9.wpc.v0cdn.net A 72.21.81.200"
"11","1.037421","192.168.1.254","192.168.1.100","DNS","209","Standard query response 0xa29f A checkappexec.microsoft.com CNAME wd-prod-ss.trafficmanager.net CNAME wd-prod-ss-eu-west-2-fe.westeurope.cloudapp.azure.com A 137.117.243.30"
"12","1.042095","192.168.1.85","192.168.1.100","TCP","60","8060  >  63325 [ACK] Seq=1 Ack=2 Win=340 Len=0"
"13","1.069025","1.1.1.1","192.168.1.100","TCP","60","443  >  63322 [ACK] Seq=1 Ack=61 Win=31 Len=0"
"14","1.069025","1.1.1.1","192.168.1.100","TCP","60","443  >  63322 [ACK] Seq=1 Ack=220 Win=32 Len=0"
"15","1.069026","1.1.1.1","192.168.1.100","TCP","60","443  >  63322 [ACK] Seq=1 Ack=280 Win=32 Len=0"
"16","1.069026","1.1.1.1","192.168.1.100","TCP","60","443  >  63322 [ACK] Seq=1 Ack=340 Win=32 Len=0"
"17","1.069026","1.1.1.1","192.168.1.100","TCP","60","443  >  63322 [ACK] Seq=1 Ack=499 Win=33 Len=0"
"18","1.069026","1.1.1.1","192.168.1.100","TCP","60","443  >  63322 [ACK] Seq=1 Ack=658 Win=34 Len=0"
"19","1.105003","1.1.1.1","192.168.1.100","TLSv1.2","415","Application Data"
"20","1.105004","1.1.1.1","192.168.1.100","TLSv1.2","85","Application Data"
"21","1.105004","1.1.1.1","192.168.1.100","TLSv1.2","377","Application Data"
"22","1.105004","1.1.1.1","192.168.1.100","TLSv1.2","85","Application Data"
"23","1.105045","192.168.1.100","1.1.1.1","TCP","54","63322  >  443 [ACK] Seq=658 Ack=747 Win=513 Len=0"
"24","1.105694","192.168.1.100","192.168.1.254","DNS","81","Standard query 0xc5e3 A phbuczan.attlocal.net"
"25","1.106092","192.168.1.100","192.168.1.254","DNS","87","Standard query 0x466c A ghnvvsdvvifpmj.attlocal.net"
"26","1.110132","1.1.1.1","192.168.1.100","TLSv1.2","377","Application Data"
"27","1.110132","1.1.1.1","192.168.1.100","TLSv1.2","85","Application Data"
"28","1.110162","192.168.1.100","1.1.1.1","TCP","54","63322  >  443 [ACK] Seq=658 Ack=1101 Win=511 Len=0"
"29","1.110629","192.168.1.100","192.168.1.254","DNS","87","Standard query 0x6e62 A jlmuszxokfoqry.attlocal.net"
"30","1.190258","192.168.1.254","192.168.1.100","DNS","143","Standard query response 0x466c No such name A ghnvvsdvvifpmj.attlocal.net SOA localhost"
