"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","1.1.1.1","TCP","74","50994  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405107700 TSecr=0 WS=1024"
"2","0.030987838","1.1.1.1","10.0.2.15","TCP","60","443  >  50994 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"3","0.031040988","10.0.2.15","1.1.1.1","TCP","54","50994  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"4","0.031389178","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"5","0.031532788","1.1.1.1","10.0.2.15","TCP","60","443  >  50994 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"6","0.065058760","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"7","0.065100630","10.0.2.15","1.1.1.1","TCP","54","50994  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"8","0.065330584","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"9","0.065357394","10.0.2.15","1.1.1.1","TCP","54","50994  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"10","0.065834813","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"11","0.065934693","10.0.2.15","1.1.1.1","TLSv1.3","250","Application Data"
"12","0.065987285","1.1.1.1","10.0.2.15","TCP","60","443  >  50994 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"13","0.066031054","1.1.1.1","10.0.2.15","TCP","60","443  >  50994 [ACK] Seq=2737 Ack=794 Win=65535 Len=0"
"14","0.117043049","1.1.1.1","10.0.2.15","TLSv1.3","1102","Application Data, Application Data"
"15","0.117276099","1.1.1.1","10.0.2.15","TCP","60","443  >  50994 [FIN, ACK] Seq=3785 Ack=794 Win=65535 Len=0"
"16","0.117637887","10.0.2.15","1.1.1.1","TCP","54","50994  >  443 [FIN, ACK] Seq=794 Ack=3786 Win=36920 Len=0"
"17","0.117755159","1.1.1.1","10.0.2.15","TCP","60","443  >  50994 [ACK] Seq=3786 Ack=795 Win=65535 Len=0"
"18","22.160499347","10.0.2.15","1.1.1.1","TCP","74","50996  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405129861 TSecr=0 WS=1024"
"19","22.191556063","1.1.1.1","10.0.2.15","TCP","60","443  >  50996 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"20","22.191603663","10.0.2.15","1.1.1.1","TCP","54","50996  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"21","22.191899887","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"22","22.192002887","1.1.1.1","10.0.2.15","TCP","60","443  >  50996 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"23","22.227691078","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"24","22.227712038","10.0.2.15","1.1.1.1","TCP","54","50996  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"25","22.227884458","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"26","22.227891008","10.0.2.15","1.1.1.1","TCP","54","50996  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"27","22.228361102","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"28","22.228463292","10.0.2.15","1.1.1.1","TLSv1.3","252","Application Data"
"29","22.228466742","1.1.1.1","10.0.2.15","TCP","60","443  >  50996 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"30","22.228537247","1.1.1.1","10.0.2.15","TCP","60","443  >  50996 [ACK] Seq=2736 Ack=796 Win=65535 Len=0"
"31","22.280665961","1.1.1.1","10.0.2.15","TLSv1.3","1106","Application Data, Application Data"
"32","22.280900646","1.1.1.1","10.0.2.15","TCP","60","443  >  50996 [FIN, ACK] Seq=3788 Ack=796 Win=65535 Len=0"
"33","22.281192955","10.0.2.15","1.1.1.1","TCP","54","50996  >  443 [FIN, ACK] Seq=796 Ack=3789 Win=36920 Len=0"
"34","22.281354095","1.1.1.1","10.0.2.15","TCP","60","443  >  50996 [ACK] Seq=3789 Ack=797 Win=65535 Len=0"
"37","69.333408504","10.0.2.15","1.1.1.1","TCP","74","50998  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405177034 TSecr=0 WS=1024"
"38","69.374500423","1.1.1.1","10.0.2.15","TCP","60","443  >  50998 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"39","69.374549873","10.0.2.15","1.1.1.1","TCP","54","50998  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"40","69.374861937","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"41","69.374973897","1.1.1.1","10.0.2.15","TCP","60","443  >  50998 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"42","69.418200873","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"43","69.418222303","10.0.2.15","1.1.1.1","TCP","54","50998  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"44","69.418465417","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"45","69.418489077","10.0.2.15","1.1.1.1","TCP","54","50998  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"46","69.418928257","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"47","69.419048567","10.0.2.15","1.1.1.1","TLSv1.3","253","Application Data"
"48","69.419072376","1.1.1.1","10.0.2.15","TCP","60","443  >  50998 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"49","69.419192047","1.1.1.1","10.0.2.15","TCP","60","443  >  50998 [ACK] Seq=2737 Ack=797 Win=65535 Len=0"
"50","69.476073403","1.1.1.1","10.0.2.15","TLSv1.3","1108","Application Data, Application Data"
"51","69.476227007","1.1.1.1","10.0.2.15","TCP","60","443  >  50998 [FIN, ACK] Seq=3791 Ack=797 Win=65535 Len=0"
"52","69.476549257","10.0.2.15","1.1.1.1","TCP","54","50998  >  443 [FIN, ACK] Seq=797 Ack=3792 Win=36920 Len=0"
"53","69.476673627","1.1.1.1","10.0.2.15","TCP","60","443  >  50998 [ACK] Seq=3792 Ack=798 Win=65535 Len=0"
"54","112.523473490","10.0.2.15","1.1.1.1","TCP","74","51000  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405220224 TSecr=0 WS=1024"
"55","112.560214755","1.1.1.1","10.0.2.15","TCP","60","443  >  51000 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"56","112.560260645","10.0.2.15","1.1.1.1","TCP","54","51000  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"57","112.560559669","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"58","112.560682909","1.1.1.1","10.0.2.15","TCP","60","443  >  51000 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"59","112.598965198","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"60","112.598989688","10.0.2.15","1.1.1.1","TCP","54","51000  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
