"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.205.208","52.32.219.185","TCP","66","51752  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.080753","52.32.219.185","192.168.205.208","TCP","58","443  >  51752 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1380"
"3","0.080826","192.168.205.208","52.32.219.185","TCP","54","51752  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.082678","192.168.205.208","52.32.219.185","TLSv1.2","571","Client Hello"
"5","0.163818","52.32.219.185","192.168.205.208","TCP","54","443  >  51752 [ACK] Seq=1 Ack=518 Win=26800 Len=0"
"6","0.167903","52.32.219.185","192.168.205.208","TLSv1.2","1354","Server Hello"
"7","0.167904","52.32.219.185","192.168.205.208","TCP","1354","443  >  51752 [ACK] Seq=1301 Ack=518 Win=26800 Len=1300 [TCP segment of a reassembled PDU]"
"8","0.167905","52.32.219.185","192.168.205.208","TLSv1.2","857","Certificate, Server Key Exchange, Server Hello Done"
"9","0.168039","192.168.205.208","52.32.219.185","TCP","54","51752  >  443 [ACK] Seq=518 Ack=3404 Win=64860 Len=0"
"10","0.174881","192.168.205.208","52.32.219.185","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"11","0.175263","192.168.205.208","52.32.219.185","TLSv1.2","1235","Application Data"
"12","0.186192","192.168.205.208","104.16.249.249","TLSv1.2","115","Application Data"
"13","0.186320","192.168.205.208","104.16.249.249","TLSv1.2","136","Application Data"
"14","0.198265","104.16.249.249","192.168.205.208","TCP","54","443  >  51749 [ACK] Seq=1 Ack=62 Win=32 Len=0"
"15","0.198265","104.16.249.249","192.168.205.208","TCP","54","443  >  51749 [ACK] Seq=1 Ack=144 Win=32 Len=0"
"16","0.200885","104.16.249.249","192.168.205.208","TLSv1.2","413","Application Data"
"17","0.200886","104.16.249.249","192.168.205.208","TLSv1.2","85","Application Data"
"18","0.200931","192.168.205.208","104.16.249.249","TCP","54","51749  >  443 [ACK] Seq=144 Ack=391 Win=507 Len=0"
"19","0.256153","52.32.219.185","192.168.205.208","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"20","0.257647","52.32.219.185","192.168.205.208","TLSv1.2","210","Application Data"
"21","0.257750","192.168.205.208","52.32.219.185","TCP","54","51752  >  443 [ACK] Seq=1825 Ack=3611 Win=64653 Len=0"
"22","0.259914","192.168.205.208","64.233.185.147","TCP","66","51753  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23","0.272552","64.233.185.147","192.168.205.208","TCP","66","443  >  51753 [SYN, ACK] Seq=0 Ack=1 Win=62920 Len=0 MSS=1380 SACK_PERM=1 WS=256"
"24","0.272749","192.168.205.208","64.233.185.147","TCP","54","51753  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"25","0.277538","192.168.205.208","64.233.185.147","TLSv1.2","571","Client Hello"
"26","0.290116","64.233.185.147","192.168.205.208","TCP","54","443  >  51753 [ACK] Seq=1 Ack=518 Win=64000 Len=0"
"27","0.291676","64.233.185.147","192.168.205.208","TLSv1.2","1296","[TCP Previous segment not captured] , Ignored Unknown Record"
"28","0.291678","64.233.185.147","192.168.205.208","TCP","1434","[TCP Out-Of-Order] 443  >  51753 [ACK] Seq=1 Ack=518 Win=64000 Len=1380"
"29","0.291735","192.168.205.208","64.233.185.147","TCP","66","[TCP Dup ACK 24#1] 51753  >  443 [ACK] Seq=518 Ack=1 Win=131072 Len=0 SLE=1381 SRE=2623"
"30","0.291848","192.168.205.208","64.233.185.147","TCP","54","51753  >  443 [ACK] Seq=518 Ack=2623 Win=131072 Len=0"
"31","0.297081","192.168.205.208","64.233.185.147","TLSv1.2","118","Change Cipher Spec, Application Data"
"32","0.297735","192.168.205.208","64.233.185.147","TLSv1.2","224","Application Data"
"33","0.297845","192.168.205.208","64.233.185.147","TLSv1.2","252","Application Data"
"34","0.310078","64.233.185.147","192.168.205.208","TCP","54","443  >  51753 [ACK] Seq=2623 Ack=752 Win=65280 Len=0"
"35","0.310689","64.233.185.147","192.168.205.208","TLSv1.2","618","Application Data, Application Data"
"36","0.310896","192.168.205.208","64.233.185.147","TLSv1.2","85","Application Data"
"37","0.311012","64.233.185.147","192.168.205.208","TLSv1.2","85","Application Data"
"38","0.314178","64.233.185.147","192.168.205.208","TCP","54","443  >  51753 [ACK] Seq=3218 Ack=950 Win=66304 Len=0"
"39","0.323213","64.233.185.147","192.168.205.208","TCP","54","443  >  51753 [ACK] Seq=3218 Ack=981 Win=66304 Len=0"
"40","0.348688","64.233.185.147","192.168.205.208","TLSv1.2","382","Application Data"
"41","0.348688","64.233.185.147","192.168.205.208","TLSv1.2","165","Application Data"
"42","0.348689","64.233.185.147","192.168.205.208","TLSv1.2","86","Application Data"
"43","0.348689","64.233.185.147","192.168.205.208","TLSv1.2","85","Application Data"
"44","0.348690","64.233.185.147","192.168.205.208","TLSv1.2","93","Application Data"
"45","0.348770","192.168.205.208","64.233.185.147","TCP","54","51753  >  443 [ACK] Seq=981 Ack=3759 Win=129792 Len=0"
"46","0.349012","192.168.205.208","64.233.185.147","TLSv1.2","93","Application Data"
"47","0.365353","64.233.185.147","192.168.205.208","TCP","54","443  >  51753 [ACK] Seq=3759 Ack=1020 Win=66304 Len=0"
"48","0.759994","192.168.205.208","104.16.249.249","TLSv1.2","115","Application Data"
"49","0.760109","192.168.205.208","104.16.249.249","TLSv1.2","148","Application Data"
"50","0.772064","104.16.249.249","192.168.205.208","TCP","54","443  >  51749 [ACK] Seq=391 Ack=299 Win=32 Len=0"
"51","0.777635","104.16.249.249","192.168.205.208","TLSv1.2","409","Application Data"
"52","0.777635","104.16.249.249","192.168.205.208","TLSv1.2","85","Application Data"
"53","0.777694","192.168.205.208","104.16.249.249","TCP","54","51749  >  443 [ACK] Seq=299 Ack=777 Win=512 Len=0"
"54","0.788552","192.168.205.208","52.39.224.180","TCP","66","51754  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"55","0.832435","192.168.205.208","104.16.249.249","TLSv1.2","115","Application Data"
"56","0.832544","192.168.205.208","104.16.249.249","TLSv1.2","138","Application Data"
