"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","1.1.1.1","TCP","74","50622  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403924823 TSecr=0 WS=1024"
"2","0.035334483","1.1.1.1","10.0.2.15","TCP","60","443  >  50622 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"3","0.035383613","10.0.2.15","1.1.1.1","TCP","54","50622  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"4","0.035900707","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"5","0.036054552","1.1.1.1","10.0.2.15","TCP","60","443  >  50622 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"6","0.072853987","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"7","0.072874157","10.0.2.15","1.1.1.1","TCP","54","50622  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"8","0.073084332","1.1.1.1","10.0.2.15","TLSv1.3","1331","Application Data"
"9","0.073091792","10.0.2.15","1.1.1.1","TCP","54","50622  >  443 [ACK] Seq=518 Ack=2738 Win=34080 Len=0"
"10","0.073517011","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"11","0.073602971","1.1.1.1","10.0.2.15","TCP","60","443  >  50622 [ACK] Seq=2738 Ack=598 Win=65535 Len=0"
"12","0.073612011","10.0.2.15","1.1.1.1","TLSv1.3","278","Application Data"
"13","0.073676531","1.1.1.1","10.0.2.15","TCP","60","443  >  50622 [ACK] Seq=2738 Ack=822 Win=65535 Len=0"
"14","0.127902509","1.1.1.1","10.0.2.15","TLSv1.3","1158","Application Data, Application Data"
"15","0.128063824","1.1.1.1","10.0.2.15","TCP","60","443  >  50622 [FIN, ACK] Seq=3842 Ack=822 Win=65535 Len=0"
"16","0.128398313","10.0.2.15","1.1.1.1","TCP","54","50622  >  443 [FIN, ACK] Seq=822 Ack=3843 Win=36920 Len=0"
"17","0.128509693","1.1.1.1","10.0.2.15","TCP","60","443  >  50622 [ACK] Seq=3843 Ack=823 Win=65535 Len=0"
"18","2.131840689","10.0.2.15","1.1.1.1","TCP","74","50624  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403926955 TSecr=0 WS=1024"
"19","2.163015833","1.1.1.1","10.0.2.15","TCP","60","443  >  50624 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"20","2.163064353","10.0.2.15","1.1.1.1","TCP","54","50624  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"21","2.163429667","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"22","2.163602202","1.1.1.1","10.0.2.15","TCP","60","443  >  50624 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"23","2.197308534","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"24","2.197330554","10.0.2.15","1.1.1.1","TCP","54","50624  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"25","2.197560294","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"26","2.197588694","10.0.2.15","1.1.1.1","TCP","54","50624  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"27","2.198001583","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"28","2.198080299","1.1.1.1","10.0.2.15","TCP","60","443  >  50624 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"29","2.198088993","10.0.2.15","1.1.1.1","TLSv1.3","276","Application Data"
"30","2.198200879","1.1.1.1","10.0.2.15","TCP","60","443  >  50624 [ACK] Seq=2737 Ack=820 Win=65535 Len=0"
"31","2.248199629","1.1.1.1","10.0.2.15","TLSv1.3","1154","Application Data, Application Data"
"32","2.248417919","1.1.1.1","10.0.2.15","TCP","60","443  >  50624 [FIN, ACK] Seq=3837 Ack=820 Win=65535 Len=0"
"33","2.248795916","10.0.2.15","1.1.1.1","TCP","54","50624  >  443 [FIN, ACK] Seq=820 Ack=3838 Win=36920 Len=0"
"34","2.248949518","1.1.1.1","10.0.2.15","TCP","60","443  >  50624 [ACK] Seq=3838 Ack=821 Win=65535 Len=0"
"35","11.251911398","10.0.2.15","1.1.1.1","TCP","74","50626  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403936075 TSecr=0 WS=1024"
"36","11.292160415","1.1.1.1","10.0.2.15","TCP","60","443  >  50626 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"37","11.292206215","10.0.2.15","1.1.1.1","TCP","54","50626  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"38","11.292556895","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"39","11.292661805","1.1.1.1","10.0.2.15","TCP","60","443  >  50626 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"40","11.345846908","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"41","11.345869108","10.0.2.15","1.1.1.1","TCP","54","50626  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"42","11.346040328","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"43","11.346046898","10.0.2.15","1.1.1.1","TCP","54","50626  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
